,Rank,Restaurant,Sales,YOY_Sales,Units,YOY_Units,Segment_Category
112,113,Blaze Pizza,366,12.4%,313,5.7%,Pizza
113,114,Peet's Coffee,357,4.3%,423,2.2%,Coffee Cafe
114,115,Dickey's Barbecue Pit,349,-9.2%,497,-6.4%,BBQ
115,116,Zoes Kitchen,348,1.2%,256,-1.5%,Sandwich
116,117,Corner Bakery_Cafe,348,-3.9%,175,-3.8%,Bakery Cafe
117,118,Krystal Co.,343,-9.0%,318,-10.7%,Burger
118,119,Benihana,340,1.6%,71,0.0%,Asian
119,120,Cooper's Hawk Winery & Restaurants,338,19.9%,41,17.1%,Varied Menu
120,121,Big Boy/Frisch's Big Boy,338,-3.4%,194,-3.0%,Family Style
121,122,Black Bear Diner,336,15.3%,138,15.0%,Family Style
122,123,Twin Peaks,335,2.6%,84,0.0%,Sports Bar
123,124,Schlotzsky's,335,-0.5%,373,0.5%,Sandwich
124,125,Jet's Pizza,331,-1.8%,383,-1.0%,Pizza
125,126,Famous Dave's,329,-8.0%,128,-11.1%,BBQ
126,127,On The Border Mexican Grill & Cantina,327,-6.1%,136,-4.9%,Mexican
127,128,Fogo de Chao,326,10.1%,43,13.2%,Steak
128,129,Ninety Nine Restaurants,324,2.1%,108,0.9%,Varied Menu
129,130,Village Inn,313,-7.9%,183,-9.0%,Family Style
130,131,Taco Cabana,311,-4.4%,172,1.2%,Mexican
131,132,Fleming's Prime Steakhouse & Wine Bar,307,1.0%,68,-2.9%,Steak
132,133,Caribou Coffee,306,6.7%,464,3.8%,Coffee Cafe
133,134,Jack's,290,9.8%,176,8.6%,Burger
134,135,Au Bon Pain,289,-8.1%,170,-5.6%,Bakery Cafe
135,136,Bar Louie,284,-5.6%,128,-3.0%,Varied Menu
136,137,Sarku Japan,281,2.4%,224,-0.4%,Asian/Noodle
137,138,Old Chicago Pizza & Taproom,275,4.5%,109,1.9%,Italian/Pizza
138,139,Rally's Hamburgers,275,-3.5%,290,-3.7%,Burger
139,140,Torchy's Tacos,272,17.3%,72,14.3%,Mexican
140,141,Pizza Ranch,269,7.3%,212,2.9%,Pizza
141,142,Pappadeaux Seafood Kitchen,269,3.1%,40,0.0%,Seafood
142,143,Braum's Ice Cream & Dairy Stores,268,2.2%,281,0.0%,Frozen Desserts
143,144,Pei Wei Asian Diner,268,-12.5%,150,-16.7%,Asian/Noodle
144,145,Cafe Rio Mexican Grill,267,9.9%,126,6.8%,Mexican
145,146,Morton's The Steakhouse,266,-1.5%,63,-1.6%,Steak
146,147,Smashburger,265,-6.5%,312,-3.4%,Burger
147,148,Wienerschnitzel,265,3.6%,330,1.5%,Sandwich
148,149,Sizzler,259,-3.8%,122,-6.9%,Family Casual
149,150,Seasons 52,253,1.4%,44,4.8%,Varied Menu
150,151,Bahama Breeze Island Grille,252,5.3%,43,7.5%,Varied Menu
151,152,Pret A Manger,252,4.7%,95,3.3%,Bakery Cafe
152,153,Godfather's Pizza,250,4.9%,569,3.8%,Pizza
153,154,Huddle House,247,0.9%,342,-2.6%,Family Style
154,155,Mastro's Restaurants,242,9.7%,18,5.9%,Steak
155,156,Uncle Julio's,239,11.7%,36,2.9%,Mexican
156,157,Fazoli's,238,2.8%,215,0.0%,Sandwich
157,158,Rubio's,232,-0.1%,197,-3.4%,Mexican
158,159,Legal Sea Foods,227,-1.9%,34,-2.9%,Seafood
159,160,A&W All-American Food,227,1.8%,575,-6.5%,Burger
160,161,Newk's Eatery,227,0.4%,121,-0.8%,Sandwich
161,162,Fuzzy's Taco Shop,225,8.6%,152,3.4%,Mexican
162,163,Sbarro,218,-4.0%,300,-2.6%,Pizza
163,164,Romano's Macaroni Grill,218,-4.6%,85,-3.4%,Italian/Pizza
164,165,Brio Tuscan Grille,217,-4.0%,57,-1.7%,Italian/Pizza
165,166,Lazy Dog Restaurant & Bar,213,21.3%,36,20.0%,Varied Menu
166,167,Souplantation & Sweet Tomatoes,211,-3.3%,97,0.0%,Family Casual
167,168,Friendly's,210,-15.3%,160,-20.4%,Family Style
168,169,Del Frisco's Double Eagle Steak House,205,12.4%,16,0.0%,Steak
169,170,Penn Station East Coast Subs,201,0.8%,306,-1.3%,Sandwich
170,171,Cinnabon,201,5.6%,956,3.5%,Snack
171,172,Uno Pizzeria & Grill,196,-12.9%,85,-14.1%,Italian/Pizza
172,173,J. Alexander's,195,2.8%,34,3.0%,Varied Menu
173,174,Luby's,195,-7.5%,79,-6.0%,Family Casual
174,175,Which Wich,193,-4.2%,372,-3.9%,Sandwich
175,176,Firebirds Wood Fired Grill,192,7.4%,51,6.3%,Varied Menu
176,177,Le Pain Quotidien,192,1.2%,94,0.0%,Bakery Cafe
177,178,Sonny's BBQ,191,-8.3%,94,-6.9%,BBQ
178,179,True Food Kitchen,190,13.8%,32,28.0%,Varied Menu
179,180,Buca di Beppo,189,-5.7%,76,-1.3%,Italian/Pizza
180,181,Hard Rock Cafe,187,-5.2%,40,-4.8%,Varied Menu
181,182,Johnny Rockets,186,-10.2%,155,-11.4%,Varied Menu
182,183,Fuddruckers,185,-15.8%,138,-11.5%,Burger
183,184,The Original Pancake House,185,3.1%,141,0.0%,Family Style
184,185,Sweetgreen,184,16.8%,102,10.9%,Healthy
185,186,Golden Chick,183,6.7%,184,0.5%,Chicken
186,187,Mountain Mike's Pizza,181,10.9%,215,5.4%,Pizza
187,188,Bubba Gump Shrimp Co.,181,-2.9%,27,0.0%,Seafood
188,189,The Melting Pot,181,-6.5%,105,-7.9%,Varied Menu
189,190,Farmer Boys,179,1.7%,93,1.1%,Burger
190,191,Donatos Pizza,179,3.8%,165,3.1%,Pizza
191,192,Shoney's,179,-4.4%,126,-0.8%,Family Style
192,193,Taco Bueno,178,-12.4%,145,-12.1%,Mexican
193,194,Claim Jumper,177,-10.2%,35,-5.4%,Varied Menu
194,195,Wetzel's Pretzels,177,3.9%,353,5.4%,Snack
195,196,La Madeleine Country French Cafe,174,2.4%,87,0.0%,Bakery Cafe
196,197,Giordano's,173,5.5%,70,1.4%,Italian/Pizza
197,198,Islands Fine Burgers & Drinks,173,0.9%,56,0.0%,Varied Menu
198,199,Mimi's Bistro & Bakery,172,-4.8%,77,-2.5%,Varied Menu
199,200,Beef 'O' Brady's,171,-5.0%,153,-2.5%,Sports Bar
200,201,Metro Diner,171,36.3%,69,3.0%,Family Style
201,202,Bill Miller Bar-B-Q,170,3.6%,75,1.4%,BBQ
202,203,Black Angus Steakhouse,168,1.6%,42,-4.5%,Steak
203,204,Smokey Bones Bar & Fire Grill,168,-1.3%,61,-3.2%,BBQ
204,205,Joe's Crab Shack,166,-7.4%,53,-7.0%,Seafood
205,206,LaRosa's Pizzeria,164,3.7%,66,3.1%,Italian/Pizza
206,207,Roosters,163,6.7%,42,2.4%,Varied Menu
207,208,Great Harvest Bread Co.,162,-1.9%,182,-0.5%,Bakery Cafe
208,209,Shari's Cafe and Pies,161,-2.4%,92,0.0%,Family Style
209,210,Lee's Famous Recipe Chicken,161,-2.3%,129,-1.5%,Chicken
210,211,Wayback Burgers,159,2.0%,143,0.7%,Burger
211,212,McCormick & Schmick's,157,-15.6%,35,-14.6%,Seafood
212,213,Grand Lux Cafe,157,1.2%,13,0.0%,Varied Menu
213,214,Anthony's Coal Fired Pizza,153,4.0%,68,1.5%,Italian/Pizza
214,215,Chicken Salad Chick,153,39.5%,144,38.5%,Chicken
215,216,Paris Baguette,152,14.5%,81,8.0%,Bakery Cafe
216,217,Eat'n Park,152,-6.5%,63,-7.4%,Family Style
217,218,Hurricane Grill & Wings,151,0.8%,56,0.0%,Sports Bar
218,219,The Old Spaghetti Factory,150,2.2%,42,0.0%,Italian/Pizza
219,220,Taziki's Mediterranean Cafe,149,11.9%,93,6.9%,Ethnic
220,221,Menchie's Frozen Yogurt,149,-3.1%,416,-2.1%,Frozen Desserts
221,222,Bruegger's Bagels,148,-4.5%,210,-2.8%,Bakery Cafe
222,223,Tijuana Flats,147,6.5%,139,2.2%,Mexican
223,224,Duffy's Sports Grill,144,2.6%,34,0.0%,Sports Bar
224,225,Eddie V's Prime Seafood,144,8.1%,21,10.5%,Seafood
225,226,Topgolf,144,14.6%,54,14.9%,Varied Menu
226,227,Ocean Prime,144,20.2%,16,6.7%,Seafood
227,228,Pappasito's Cantina,143,2.2%,25,0.0%,Mexican
228,229,Pollo Campero,143,1.1%,78,-2.5%,Chicken
229,230,Houlihan's,143,-21.2%,45,-32.8%,Varied Menu
230,231,Old Country Buffet/HomeTown Buffet,142,-18.8%,49,-24.6%,Family Casual
231,232,Great American Cookies,142,2.7%,368,2.2%,Snack
232,233,Nobu,139,9.4%,17,13.3%,Asian
233,234,BurgerFi,138,3.0%,112,7.7%,Burger
